"Metabolite","Uptake_By_Strains","Secreted_By_Strains","Total_Exchange"
"(3,4-dihydroxyphenyl)acetate",299,5,304
"(Bis-(P-Hydroxyphenyl)-Pyridyl-2-Methane",0,1,1
"(E)-5-(2-Bromovinyl)Uracil",0,63,63
"(R)-3-hydroxybutyrate",2,340,342
"(R)-Acetoin",496,65,561
"(R)-Pantothenate",3161,3,3164
"(S)-propane-1,2-diol",365,19,384
"1,2,4-Triaminobenzene",3,16,19
"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",369,1,370
"1,4-Dihydroxy-2-naphthoate",136,37,173
"1,4-Dihydroxy-2-naphthoyl-CoA",1,0,1
"1,5-Diaminopentane",0,7,7
"1-Propanol",1,2,3
"1-hydroxy S-ibuprofen",0,1,1
"1-hydroxy S-ibuprofen-glucuronide",1,0,1
"12-Dehydrocholate",6,3,9
"16-Glucuronide-estriol",1,0,1
"2,2-Difluorodeoxyuridine",0,61,61
"2,3-dihydroxicinnamic acid",81,0,81
"2-Dehydro-3-deoxy-D-gluconate",5,263,268
"2-Demethylmenaquinone 8",88,0,88
"2-Hydroxyphenylacetate",0,2,2
"2-Oxobutanoate",1152,295,1447
"2-Oxoglutarate",546,1004,1550
"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",2,0,2
"2-Sulfamoylacetylphenol",0,1,1
"2-Sulfamoylacetylphenol Glucuronide",1,0,1
"2-deoxy-D-ribose",1,0,1
"2-deoxyadenosine",834,138,972
"2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid",0,3,3
"2-hydroxy-atorvastatin-acyl-glucuronide",3,0,3
"2-methylbutyrate",0,2,2
"2-phenylethanamine",0,1,1
"20,22-Dihydrodigitoxin",5,0,5
"3-(2,3-Dihydroxyphenyl)propanoate",5,0,5
"3-Dehydrochenodeoxycholate",1,3,4
"3-Dehydrocholate",1,3,4
"3-Hydroxy Carbamazepine Glucuronide",1,0,1
"3-Hydroxycarbamazepine",0,1,1
"3-Hydroxyphenylacetate",8,0,8
"3-hydroxy S-ibuprofen",0,3,3
"3-hydroxy S-ibuprofen-glucuronide",3,0,3
"3-methoxy-acetaminophen",0,55,55
"3-methyl-2-oxopentanoate",49,7,56
"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",231,233,464
"4-Amino-5-hydroxymethyl-2-methylpyrimidine",14,0,14
"4-Aminobenzoate",1444,0,1444
"4-Aminobenzoyl-Beta-Alanine",7,16,23
"4-Aminobutanoate",77,828,905
"4-Dehydroxytempol",0,3,3
"4-Dehydroxytempol 1-O-Glucuronide",3,0,3
"4-Hydroxybenzyl Ketoprofen",0,1,1
"4-Hydroxybenzyl Ketoprofen Glucuronide",1,0,1
"4-hydroxybenzoate",69,1,70
"4-hydroxyphenylacetate",11,24,35
"4hbz[e]",1,0,1
"5,6,7,8-Tetrahydrofolate",0,2,2
"5,6-Dihydro-5-fluorouracil",73,232,305
"5-Aminopentanoate",2,0,2
"5-Aminosalicylic Acid (Mesalamine)",61,21,82
"5-Fluorocytosine",135,0,135
"5-Fluorouracil",221,183,404
"5-Hydroxy-Sulfapyridine",0,2,2
"5-Hydroxy-Sulfapyridine-O-Glucuronide",2,0,2
"5-Methyltetrahydrofolate",0,4,4
"5-Methylthioadenosine",23,17,40
"5-hydroxy-L-tryptophan",1,0,1
"6-hydroxy-fluvastatin",0,2,2
"6-hydroxy-fluvastatin-glucuronide",2,0,2
"7-Amino Nitrozepam",535,688,1223
"7-Aminoclonazepam",252,663,915
"7-Dehydrochenodeoxycholate",186,177,363
"7-beta-OH-gliclazide",0,1,1
"7-beta-OH-gliclazide-glucuronide",1,0,1
"7-hydroxy-Efavirenz",0,3,3
"7-hydroxy-Efavirenz Glucuronide",3,0,3
"8,14-Dihydroxyefavirenz",0,2,2
"8,14-Dihydroxyefavirenz Glucuronide",2,0,2
"8-hydroxy-Efavirenz",0,1,1
"8-hydroxy-Efavirenz Glucuronide",1,0,1
"AM1c (cyclosporine)",0,1,1
"AM1c-glucuronide (cyclosporine)",1,0,1
"AMP",1,0,1
"Acetaldehyde",1455,717,2172
"Acetaminophen Glucuronide",1,0,1
"Acetate",18,3386,3404
"Acetoacetate",205,510,715
"Adenine",298,5,303
"Adenosine",1254,302,1556
"Adenosylcobalamin",755,0,755
"Alginic acid, polymer of (LGulA)3 (ManA)3",3,0,3
"Allantoin",1,0,1
"Amiodarone",0,1,1
"Amiodarone Glucuronide (M16)",1,0,1
"Ammonium",109,3242,3351
"Amylopectin, 900 repeat units",20,0,20
"Arabinotriose",203,0,203
"Arabinoxylan",7,0,7
"Arbutin",418,0,418
"BILR M12",1,0,1
"BILR M14",0,1,1
"BILR M15",1,0,1
"BILR M7",0,1,1
"Balsalazide",16,7,23
"Benzamide",122,0,122
"Benzoic Acid Glucuronide",1,0,1
"Biotin",8,0,8
"Bis-(P-Hydroxy-Phenyl)-Pyridyl-2-Methane Glucuronide",1,0,1
"Brivudine",23,0,23
"Butyrate",57,269,326
"CD6168",0,133,133
"CD6168 Glucuronide",133,0,133
"Carbon dioxide",200,3251,3451
"Chicory inulin",91,0,91
"Chloramphenicol",55,943,998
"Chloride",3464,0,3464
"Cholate",240,496,736
"Choline",203,3,206
"Choline sulfate",4,0,4
"Citrate",994,114,1108
"Clonazepam",663,252,915
"Clopidogrel Acyl-Beta-D-Glucuronide",1,0,1
"Clopidogrel Carboxylic Acid",0,1,1
"Co2+",3464,0,3464
"Cob(I)alamin",0,755,755
"Coprostanol",2,0,2
"Core 4",4,0,4
"Cu2+",3464,0,3464
"Cyanate",4,0,4
"Cytidine",1694,20,1714
"D-Alanyl-D-alanine",6,0,6
"D-Arabinose",18,134,152
"D-Fructose",384,680,1064
"D-Fructuronate",2,445,447
"D-Galactarate",7,0,7
"D-Galactose",63,719,782
"D-Galacturonate",19,6,25
"D-Glucosamine",540,22,562
"D-Glucose 6-phosphate",767,0,767
"D-Glutamate",1,1,2
"D-Mannitol",46,3,49
"D-Mannose",115,2,117
"D-Mannose 6-phosphate",968,0,968
"D-Mannuronic acid",0,3,3
"D-alanine",299,814,1113
"D-glucarate(2-)",22,0,22
"D-glucitol",37,4,41
"D-gluconate",176,524,700
"D-glucose",914,51,965
"D-glucuronate",42,1026,1068
"D-lactate",132,1639,1771
"D-ribose",25,5,30
"Deleobuvir",0,190,190
"Deleobuvir Glucuronide",190,0,190
"Deoxycytidine",192,16,208
"Deoxyguanosine",812,3,815
"Deoxyinosine",673,0,673
"Deoxyuridine",872,0,872
"Dephospho-CoA",22,0,22
"Desmethylnoralfentanil (AM6)",0,1,1
"Desmethylnoralfentanil Glucuronide (AM6 Glucuronide)",1,0,1
"Dextran 40, 1,6-alpha-D-Glucan",4,0,4
"Dextrin",31,0,31
"Dextrorphan",0,1,1
"Dextrorphan O-Glucuronide",1,0,1
"Diacetyl",0,37,37
"Digitoxin",0,5,5
"Digoxin",0,7,7
"Dihydrodigoxin",7,0,7
"Dimer GalNAc-GlcA",0,2,2
"Dimer GalNAc-IdoA",0,1,1
"Dimer GalNAc-IdoA2S",0,1,1
"Dimer GalNAc4S-GlcA",1,0,1
"Dimer GalNAc4S-IdoA2S",2,0,2
"Dimethyl sulfide",0,232,232
"Dimethyl sulfoxide",232,0,232
"Diphosphate",0,1795,1795
"Donepezil Metabolite M14",2,0,2
"Donepezil Metabolite M9",0,2,2
"Dopamine",1,5,6
"Efavirenz",0,2,2
"Efavirenz Glucuronide",2,0,2
"Eltrombopag M3 (Glucuronide Conjugate)",1115,0,1115
"Ethanol",143,1680,1823
"Ethanolamine",191,0,191
"Etravarine Dihydroxylated (M4, M5, M6)",0,1,1
"Etravarine Dihydroxylated Glucuronide",1,0,1
"Fe2+",1765,2,1767
"Fe3+",2999,0,2999
"Folate",1141,8,1149
"Formate",80,2878,2958
"Fumarate",1020,612,1632
"Galantamine",0,2,2
"Galantamine Glucuronide",2,0,2
"Gemcitabine",61,0,61
"Gemfibrozil M3 (Benzoic Acid Metabolite)",0,1,1
"Glucosamine 2,6-sulfate",0,6,6
"Glutarate",4,3,7
"Gly-Cys",711,0,711
"Glycerol",230,2494,2724
"Glycerol 3-phosphate",1618,4,1622
"Glycine",196,1681,1877
"Glycodeoxycholic Acid",29,0,29
"Glycyl-L-asparagine",1041,0,1041
"Glycyl-L-aspartate",11,0,11
"Glycyl-L-glutamate",13,0,13
"Glycyl-L-glutamine",144,0,144
"Glycyl-L-methionine",316,0,316
"Glycyl-L-tyrosine",734,0,734
"Glycylleucine",2114,0,2114
"Glycylphenylalanine",794,0,794
"Glycylproline",466,0,466
"Guanine",524,0,524
"Guanosine",331,768,1099
"Heparan sulfate degradation product 1",0,6,6
"Heparan sulfate degradation product 11",8,0,8
"Heparan sulfate degradation product 12",0,8,8
"Heparan sulfate degradation product 2",4,4,8
"Heparan sulfate degradation product 5",1,0,1
"Heparan sulfate degradation product 6",9,1,10
"Heparan sulfate degradation product 7",0,7,7
"Heparan sulfate degradation product 9",0,1,1
"Hesperetin",0,27,27
"Hesperetin 3,7-Diglucuronide",27,0,27
"Hesperetin 3-O-Sulfate",0,1,1
"Hesperetin 7-O-Glucuronide 3-Sulfate",1,0,1
"Hexadecanoate (n-C16:0)",4,0,4
"Hydrogen",765,349,1114
"Hydrogen peroxide",0,1,1
"Hydrogen sulfide",235,234,469
"Hydroxy Ropinirole",0,1,1
"Hypoxanthine",703,529,1232
"Indole",596,102,698
"Inosine",431,337,768
"Isethionic acid",2,0,2
"Isobutyrate, 2-Methylpropanoate",1,17,18
"Isocaproate",0,7,7
"Isochenodeoxycholate",2,0,2
"Isocholate",1,0,1
"Isoniazid",18,799,817
