"Strain","Uptake_Reactions","Secretion_Reactions","Total_Exchanged"
"Abiotrophia_defectiva_ATCC_49176",54,13,67
"Acetanaerobacterium_elongatum_CGMCC_1_5012",45,11,56
"Acetivibrio_cellulolyticus_CD2",55,19,74
"Acidaminococcus_fermentans_DSM_20731",50,16,66
"Acidaminococcus_intestini_RyC_MR95",49,13,62
"Actinomyces_georgiae_DSM_6843",50,11,61
"Actinomyces_graevenitzii_C83",49,9,58
"Actinomyces_massiliensis_4401292",47,12,59
"Actinomyces_massiliensis_F0489",46,11,57
"Actinomyces_naeslundii_ERR2221356",47,10,57
"Actinomyces_naeslundii_str_Howell_279",47,13,60
"Actinomyces_odontolyticus_ATCC_17982",35,13,48
"Actinomyces_odontolyticus_F0309",42,13,55
"Actinomyces_oris_K20",53,10,63
"Actinomyces_oris_T14V",39,11,50
"Actinomyces_sp_ICM47",40,10,50
"Adlercreutzia_equolifaciens_DSM_19450",45,6,51
"Adlercreutzia_equolifaciens_ERR2221192",49,7,56
"Aggregatibacter_segnis_933_AAPH_107_59761_2565235",44,12,56
"Aggregatibacter_segnis_ATCC_33393",47,10,57
"Akkermansia_muciniphila_ATCC_BAA_835",36,13,49
"Akkermansia_muciniphila_YL44",43,17,60
"Alistipes_finegoldii_DSM_17242",45,12,57
"Alistipes_indistinctus_ERR2221377",42,12,54
"Alistipes_indistinctus_YIT_12060",36,12,48
"Alistipes_onderdonkii_DSM_19147",39,11,50
"Alistipes_onderdonkii_ERR1022348",37,13,50
"Alistipes_onderdonkii_ERR1022461",37,15,52
"Alistipes_onderdonkii_ERR1203947",44,12,56
"Alistipes_onderdonkii_ERR1204041",43,11,54
"Alistipes_onderdonkii_ERR2221102",38,13,51
"Alistipes_onderdonkii_ERR2230089",37,14,51
"Alistipes_onderdonkii_ERR2230093",36,14,50
"Alistipes_putredinis_DSM_17216",51,10,61
"Alistipes_shahii_ERR2221103",39,14,53
"Alistipes_shahii_ERR2221307",39,13,52
"Alistipes_shahii_ERR2221376",43,13,56
"Alistipes_shahii_WAL_8301",40,13,53
"Alloprevotella_rava_F0323",48,11,59
"Anaerococcus_vaginalis_ATCC_51170",57,16,73
"Anaerofustis_stercorihominis_DSM_17244",47,8,55
"Anaerosporobacter_mobilis_DSM_15930",46,10,56
"Anaerostipes_caccae_DSM_14662",40,9,49
"Anaerostipes_caccae_ERR1203925",38,10,48
"Anaerostipes_caccae_ERR171259",40,9,49
"Anaerostipes_caccae_ERR2221104",40,9,49
"Anaerostipes_caccae_ERR2221232",40,9,49
"Anaerostipes_hadrus_DSM_3319",47,12,59
"Anaerostipes_hadrus_ERR1022288",46,10,56
"Anaerostipes_hadrus_ERR1022326",47,11,58
"Anaerostipes_hadrus_ERR1022376",48,12,60
"Anaerostipes_hadrus_ERR1022422",45,10,55
"Anaerostipes_hadrus_ERR1022423",44,10,54
"Anaerostipes_hadrus_ERR1022473",45,9,54
"Anaerostipes_hadrus_ERR2221197",45,12,57
"Anaerostipes_hadrus_ERR2221199",47,10,57
"Anaerotruncus_colihominis_DSM_17241",44,13,57
"Anaerotruncus_colihominis_ERR1022453",50,10,60
"Anaerotruncus_colihominis_ERR171260",49,12,61
"Anaerotruncus_colihominis_ERR2221105",47,12,59
"Atopobium_parvulum_DSM_20469",52,10,62
"Atopobium_rimae_ATCC_49626",56,12,68
"Bacteroides_acidifaciens_ERR2221207",37,12,49
"Bacteroides_acidifaciens_ERR2221208",36,9,45
"Bacteroides_acidifaciens_ERR2221211",35,10,45
"Bacteroides_acidifaciens_JCM_10556",38,15,53
"Bacteroides_caccae_ATCC_43185",35,15,50
"Bacteroides_caccae_CL03T12C61",55,31,86
"Bacteroides_caccae_ERR1022396",52,14,66
"Bacteroides_caccae_ERR1022460",52,12,64
"Bacteroides_caccae_ERR2221107",53,15,68
"Bacteroides_caccae_ERR2221357",53,12,65
"Bacteroides_cellulosilyticus_CL02T12C19",46,25,71
